종목,월,방향,손절선(%),시기,신호,합계(%),평균(%),승률(%),손익비,손익분기 승률(%),손익분기 대비(%p),이길 때(%),질 때(%),질 때 표본,최고(%),최악(%),보유 중 최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능,시기 시작일,시기 종료일,1차 판정
KODEX 200,1,아래,-3.0,전체,24,9.78,0.41,41.67,1.769,34.61,7.06,3.69,-2.09,13,7.33,-3.0,-3.0,3.47,0,7,6.0,예,2003-01-20,2026-01-20,제외
KODEX 200,1,아래,-3.0,앞 절반,12,15.54,1.29,58.33,1.644,34.67,23.66,3.4,-2.07,4,7.33,-3.0,-3.0,3.47,0,2,6.75,예,2003-01-20,2014-01-20,판정 안 함
KODEX 200,1,아래,-3.0,뒤 절반,12,-5.75,-0.48,25.0,2.084,32.42,-7.42,4.36,-2.09,9,6.77,-3.0,-3.0,3.38,0,5,5.25,예,2015-01-20,2026-01-20,판정 안 함
KODEX 200,1,아래,-3.0,최근 10년,10,-1.39,-0.14,30.0,2.109,32.17,-2.17,4.36,-2.07,7,6.77,-3.0,-3.0,3.61,0,4,5.2,예,2017-01-20,2026-01-20,판정 안 함
KODEX 200,1,아래,-3.0,최근 5년,5,-0.45,-0.09,40.0,1.4,41.66,-1.66,3.16,-2.26,3,5.76,-3.0,-3.0,3.61,0,2,4.6,아니오,2022-01-20,2026-01-20,판정 안 함
KODEX 200,1,아래,-4.0,전체,24,12.01,0.5,45.83,1.542,37.7,8.13,3.73,-2.42,12,7.33,-4.0,-4.0,3.71,0,5,6.62,예,2003-01-20,2026-01-20,제외
KODEX 200,1,아래,-4.0,앞 절반,12,13.54,1.13,58.33,1.324,39.44,18.89,3.4,-2.57,4,7.33,-4.0,-4.0,3.71,0,2,6.83,예,2003-01-20,2014-01-20,판정 안 함
KODEX 200,1,아래,-4.0,뒤 절반,12,-1.52,-0.13,33.33,1.837,35.24,-1.91,4.31,-2.34,8,6.77,-4.0,-4.0,3.77,0,3,6.42,예,2015-01-20,2026-01-20,판정 안 함
KODEX 200,1,아래,-4.0,최근 10년,10,2.74,0.27,40.0,1.784,35.92,4.08,4.31,-2.41,6,6.77,-4.0,-4.0,4.03,0,3,6.2,예,2017-01-20,2026-01-20,판정 안 함
KODEX 200,1,아래,-4.0,최근 5년,5,-2.45,-0.49,40.0,1.081,48.05,-8.05,3.16,-2.92,3,5.76,-4.0,-4.0,4.03,0,2,5.4,아니오,2022-01-20,2026-01-20,판정 안 함
KODEX 200,1,아래,-5.0,전체,24,13.02,0.54,45.83,1.598,36.89,8.94,3.73,-2.33,12,7.33,-5.47,-5.47,3.77,1,2,6.83,예,2003-01-20,2026-01-20,제외
KODEX 200,1,아래,-5.0,앞 절반,12,13.35,1.11,58.33,1.301,39.84,18.49,3.4,-2.61,4,7.33,-5.0,-5.0,3.75,0,1,7.0,예,2003-01-20,2014-01-20,판정 안 함
KODEX 200,1,아래,-5.0,뒤 절반,12,-0.33,-0.03,33.33,1.962,33.76,-0.43,4.31,-2.2,8,6.77,-5.47,-5.47,3.86,1,1,6.67,예,2015-01-20,2026-01-20,판정 안 함
KODEX 200,1,아래,-5.0,최근 10년,10,3.94,0.39,40.0,1.944,33.97,6.03,4.31,-2.22,6,6.77,-5.47,-5.47,4.11,1,1,6.5,예,2017-01-20,2026-01-20,판정 안 함
KODEX 200,1,아래,-5.0,최근 5년,5,0.21,0.04,40.0,1.55,39.21,0.79,3.16,-2.04,3,5.76,-5.0,-5.0,3.85,0,1,5.8,아니오,2022-01-20,2026-01-20,판정 안 함
KODEX 200,1,아래,-6.0,전체,24,12.42,0.52,45.83,1.564,37.37,8.46,3.73,-2.39,12,7.33,-6.26,-6.26,3.82,1,0,6.88,예,2003-01-20,2026-01-20,제외
KODEX 200,1,아래,-6.0,앞 절반,12,12.92,1.08,58.33,1.249,40.76,17.57,3.4,-2.72,4,7.33,-5.43,-5.72,3.82,0,0,7.0,예,2003-01-20,2014-01-20,판정 안 함
KODEX 200,1,아래,-6.0,뒤 절반,12,-0.5,-0.04,33.33,1.943,33.97,-0.64,4.31,-2.22,8,6.77,-6.26,-6.26,3.9,1,0,6.75,예,2015-01-20,2026-01-20,판정 안 함
KODEX 200,1,아래,-6.0,최근 10년,10,3.77,0.38,40.0,1.92,34.25,5.75,4.31,-2.24,6,6.77,-6.26,-6.26,4.16,1,0,6.6,예,2017-01-20,2026-01-20,판정 안 함
KODEX 200,1,아래,-6.0,최근 5년,5,-1.06,-0.21,40.0,1.285,43.77,-3.77,3.16,-2.46,3,5.76,-6.26,-6.26,4.28,1,0,6.0,아니오,2022-01-20,2026-01-20,판정 안 함
KODEX 200,1,아래,-7.0,전체,24,11.68,0.49,45.83,1.525,37.95,7.88,3.73,-2.45,12,7.33,-7.0,-7.0,3.88,0,1,6.88,예,2003-01-20,2026-01-20,제외
KODEX 200,1,아래,-7.0,앞 절반,12,12.92,1.08,58.33,1.249,40.76,17.57,3.4,-2.72,4,7.33,-5.43,-5.72,3.82,0,0,7.0,예,2003-01-20,2014-01-20,판정 안 함
KODEX 200,1,아래,-7.0,뒤 절반,12,-1.24,-0.1,33.33,1.866,34.89,-1.56,4.31,-2.31,8,6.77,-7.0,-7.0,4.01,0,1,6.75,예,2015-01-20,2026-01-20,판정 안 함
KODEX 200,1,아래,-7.0,최근 10년,10,3.03,0.3,40.0,1.82,35.46,4.54,4.31,-2.37,6,6.77,-7.0,-7.0,4.29,0,1,6.6,예,2017-01-20,2026-01-20,판정 안 함
KODEX 200,1,아래,-7.0,최근 5년,5,-1.79,-0.36,40.0,1.168,46.12,-6.12,3.16,-2.71,3,5.76,-7.0,-7.0,4.54,0,1,6.0,아니오,2022-01-20,2026-01-20,판정 안 함
KODEX 200,1,아래,-8.0,전체,24,10.25,0.43,45.83,1.454,39.05,6.78,3.73,-2.57,12,7.33,-8.44,-8.44,4.01,1,0,6.92,예,2003-01-20,2026-01-20,제외
KODEX 200,1,아래,-8.0,앞 절반,12,12.92,1.08,58.33,1.249,40.76,17.57,3.4,-2.72,4,7.33,-5.43,-5.72,3.82,0,0,7.0,예,2003-01-20,2014-01-20,판정 안 함
KODEX 200,1,아래,-8.0,뒤 절반,12,-2.67,-0.22,33.33,1.731,36.61,-3.28,4.31,-2.49,8,6.77,-8.44,-8.44,4.25,1,0,6.83,예,2015-01-20,2026-01-20,판정 안 함
KODEX 200,1,아래,-8.0,최근 10년,10,1.6,0.16,40.0,1.653,37.69,2.31,4.31,-2.61,6,6.77,-8.44,-8.44,4.58,1,0,6.7,예,2017-01-20,2026-01-20,판정 안 함
KODEX 200,1,아래,-8.0,최근 5년,5,-3.23,-0.65,40.0,0.993,50.18,-10.18,3.16,-3.18,3,5.76,-8.44,-8.44,5.08,1,0,6.2,아니오,2022-01-20,2026-01-20,판정 안 함
KODEX 200,1,아래,-9.0,전체,24,9.68,0.4,45.83,1.428,39.47,6.36,3.73,-2.61,12,7.33,-9.0,-9.0,4.06,0,1,6.96,예,2003-01-20,2026-01-20,제외
KODEX 200,1,아래,-9.0,앞 절반,12,12.92,1.08,58.33,1.249,40.76,17.57,3.4,-2.72,4,7.33,-5.43,-5.72,3.82,0,0,7.0,예,2003-01-20,2014-01-20,판정 안 함
KODEX 200,1,아래,-9.0,뒤 절반,12,-3.24,-0.27,33.33,1.684,37.26,-3.93,4.31,-2.56,8,6.77,-9.0,-9.0,4.35,0,1,6.92,예,2015-01-20,2026-01-20,판정 안 함
KODEX 200,1,아래,-9.0,최근 10년,10,1.03,0.1,40.0,1.596,38.53,1.47,4.31,-2.7,6,6.77,-9.0,-9.0,4.7,0,1,6.8,예,2017-01-20,2026-01-20,판정 안 함
KODEX 200,1,아래,-9.0,최근 5년,5,-3.79,-0.76,40.0,0.937,51.61,-11.61,3.16,-3.37,3,5.76,-9.0,-9.0,5.3,0,1,6.4,아니오,2022-01-20,2026-01-20,판정 안 함
KODEX 200,1,아래,-10.0,전체,24,8.68,0.36,45.83,1.384,40.2,5.63,3.73,-2.7,12,7.33,-10.0,-10.0,4.17,0,1,6.96,예,2003-01-20,2026-01-20,제외
KODEX 200,1,아래,-10.0,앞 절반,12,12.92,1.08,58.33,1.249,40.76,17.57,3.4,-2.72,4,7.33,-5.43,-5.72,3.82,0,0,7.0,예,2003-01-20,2014-01-20,판정 안 함
KODEX 200,1,아래,-10.0,뒤 절반,12,-4.24,-0.35,33.33,1.605,38.38,-5.05,4.31,-2.68,8,6.77,-10.0,-10.0,4.54,0,1,6.92,예,2015-01-20,2026-01-20,판정 안 함
KODEX 200,1,아래,-10.0,최근 10년,10,0.03,0.0,40.0,1.503,39.96,0.04,4.31,-2.87,6,6.77,-10.0,-10.0,4.92,0,1,6.8,예,2017-01-20,2026-01-20,판정 안 함
KODEX 200,1,아래,-10.0,최근 5년,5,-4.79,-0.96,40.0,0.853,53.96,-13.96,3.16,-3.71,3,5.76,-10.0,-10.0,5.69,0,1,6.4,아니오,2022-01-20,2026-01-20,판정 안 함
KODEX 200,1,아래,무손절,전체,24,10.09,0.42,45.83,1.447,39.17,6.66,3.73,-2.58,12,7.33,-8.59,-10.61,4.02,0,0,6.96,예,2003-01-20,2026-01-20,제외
KODEX 200,1,아래,무손절,앞 절반,12,12.92,1.08,58.33,1.249,40.76,17.57,3.4,-2.72,4,7.33,-5.43,-5.72,3.82,0,0,7.0,예,2003-01-20,2014-01-20,판정 안 함
KODEX 200,1,아래,무손절,뒤 절반,12,-2.83,-0.24,33.33,1.718,36.79,-3.46,4.31,-2.51,8,6.77,-8.59,-10.61,4.28,0,0,6.92,예,2015-01-20,2026-01-20,판정 안 함
KODEX 200,1,아래,무손절,최근 10년,10,1.44,0.14,40.0,1.637,37.92,2.08,4.31,-2.63,6,6.77,-8.59,-10.61,4.61,0,0,6.8,예,2017-01-20,2026-01-20,판정 안 함
KODEX 200,1,아래,무손절,최근 5년,5,-3.38,-0.68,40.0,0.977,50.58,-10.58,3.16,-3.24,3,5.76,-8.59,-10.61,5.14,0,0,6.4,아니오,2022-01-20,2026-01-20,판정 안 함
KODEX 200,1,위,-3.0,전체,24,0.71,0.03,45.83,1.119,45.22,0.61,2.52,-2.25,12,8.59,-3.45,-3.45,3.05,2,5,5.83,예,2003-01-20,2026-01-20,제외
KODEX 200,1,위,-3.0,앞 절반,12,-9.36,-0.78,25.0,1.204,41.58,-16.58,2.57,-2.13,8,5.43,-3.45,-3.45,2.54,1,3,5.25,예,2003-01-20,2014-01-20,판정 안 함
KODEX 200,1,위,-3.0,뒤 절반,12,10.07,0.84,66.67,1.004,49.9,16.77,2.51,-2.5,4,8.59,-3.42,-3.42,3.4,1,2,6.42,예,2015-01-20,2026-01-20,판정 안 함
KODEX 200,1,위,-3.0,최근 10년,10,5.8,0.58,60.0,1.054,48.7,11.3,2.63,-2.5,4,8.59,-3.42,-3.42,3.68,1,2,6.2,예,2017-01-20,2026-01-20,판정 안 함
KODEX 200,1,위,-3.0,최근 5년,5,6.14,1.23,60.0,1.815,35.52,24.48,3.24,-1.78,2,8.59,-3.0,-3.0,4.37,0,1,5.8,아니오,2022-01-20,2026-01-20,판정 안 함
KODEX 200,1,위,-4.0,전체,24,-0.06,-0.0,50.0,0.915,50.05,-0.05,2.58,-2.82,11,8.59,-5.83,-5.83,3.42,1,5,6.12,예,2003-01-20,2026-01-20,제외
KODEX 200,1,위,-4.0,앞 절반,12,-7.55,-0.63,33.33,1.033,45.08,-11.75,2.72,-2.64,7,5.43,-5.83,-5.83,3.17,1,2,5.83,예,2003-01-20,2014-01-20,판정 안 함
KODEX 200,1,위,-4.0,뒤 절반,12,7.49,0.62,66.67,0.798,55.62,11.05,2.51,-3.14,4,8.59,-4.0,-4.0,3.68,0,3,6.42,예,2015-01-20,2026-01-20,판정 안 함
KODEX 200,1,위,-4.0,최근 10년,10,3.22,0.32,60.0,0.838,54.42,5.58,2.63,-3.14,4,8.59,-4.0,-4.0,3.98,0,3,6.2,예,2017-01-20,2026-01-20,판정 안 함
KODEX 200,1,위,-4.0,최근 5년,5,5.14,1.03,60.0,1.418,41.36,18.64,3.24,-2.28,2,8.59,-4.0,-4.0,4.62,0,1,5.8,아니오,2022-01-20,2026-01-20,판정 안 함
KODEX 200,1,위,-5.0,전체,24,-4.57,-0.19,50.0,0.799,53.28,-3.28,2.58,-3.23,11,8.59,-5.83,-5.83,3.67,2,3,6.33,예,2003-01-20,2026-01-20,제외
KODEX 200,1,위,-5.0,앞 절반,12,-9.93,-0.83,33.33,0.916,47.85,-14.52,2.72,-2.97,7,5.43,-5.83,-5.83,3.43,2,1,6.08,예,2003-01-20,2014-01-20,판정 안 함
KODEX 200,1,위,-5.0,뒤 절반,12,5.35,0.45,66.67,0.682,59.45,7.22,2.51,-3.68,4,8.59,-5.0,-5.0,3.94,0,2,6.58,예,2015-01-20,2026-01-20,판정 안 함
KODEX 200,1,위,-5.0,최근 10년,10,1.08,0.11,60.0,0.716,58.28,1.72,2.63,-3.68,4,8.59,-5.0,-5.0,4.25,0,2,6.4,예,2017-01-20,2026-01-20,판정 안 함
KODEX 200,1,위,-5.0,최근 5년,5,4.14,0.83,60.0,1.163,46.23,13.77,3.24,-2.78,2,8.59,-5.0,-5.0,4.91,0,1,5.8,아니오,2022-01-20,2026-01-20,판정 안 함
KODEX 200,1,위,-6.0,전체,24,-8.37,-0.35,50.0,0.721,55.67,-5.67,2.58,-3.57,11,8.59,-6.0,-6.0,3.9,0,5,6.46,예,2003-01-20,2026-01-20,제외
KODEX 200,1,위,-6.0,앞 절반,12,-11.73,-0.98,33.33,0.843,49.75,-16.42,2.72,-3.23,7,5.43,-6.0,-6.0,3.65,0,3,6.17,예,2003-01-20,2014-01-20,판정 안 함
KODEX 200,1,위,-6.0,뒤 절반,12,3.35,0.28,66.67,0.6,62.49,4.18,2.51,-4.18,4,8.59,-6.0,-6.0,4.2,0,2,6.75,예,2015-01-20,2026-01-20,판정 안 함
KODEX 200,1,위,-6.0,최근 10년,10,-0.92,-0.09,60.0,0.63,61.35,-1.35,2.63,-4.18,4,8.59,-6.0,-6.0,4.53,0,2,6.6,예,2017-01-20,2026-01-20,판정 안 함
KODEX 200,1,위,-6.0,최근 5년,5,3.14,0.63,60.0,0.986,50.36,9.64,3.24,-3.28,2,8.59,-6.0,-6.0,5.22,0,1,6.2,아니오,2022-01-20,2026-01-20,판정 안 함
KODEX 200,1,위,-7.0,전체,24,-12.49,-0.52,50.0,0.653,57.97,-7.97,2.58,-3.95,11,8.59,-7.0,-7.0,4.17,0,3,6.5,예,2003-01-20,2026-01-20,제외
KODEX 200,1,위,-7.0,앞 절반,12,-14.08,-1.17,33.33,0.763,51.98,-18.65,2.72,-3.57,7,5.43,-7.0,-7.0,3.95,0,2,6.17,예,2003-01-20,2014-01-20,판정 안 함
KODEX 200,1,위,-7.0,뒤 절반,12,1.58,0.13,66.67,0.543,64.81,1.86,2.51,-4.62,4,8.59,-7.0,-7.0,4.45,0,1,6.83,예,2015-01-20,2026-01-20,판정 안 함
KODEX 200,1,위,-7.0,최근 10년,10,-2.68,-0.27,60.0,0.57,63.7,-3.7,2.63,-4.62,4,8.59,-7.0,-7.0,4.79,0,1,6.7,예,2017-01-20,2026-01-20,판정 안 함
KODEX 200,1,위,-7.0,최근 5년,5,2.14,0.43,60.0,0.855,53.89,6.11,3.24,-3.78,2,8.59,-7.0,-7.0,5.54,0,1,6.2,아니오,2022-01-20,2026-01-20,판정 안 함
KODEX 200,1,위,-8.0,전체,24,-15.49,-0.65,50.0,0.611,59.49,-9.49,2.58,-4.22,11,8.59,-8.0,-8.0,4.38,0,3,6.58,예,2003-01-20,2026-01-20,제외
KODEX 200,1,위,-8.0,앞 절반,12,-16.08,-1.34,33.33,0.707,53.71,-20.38,2.72,-3.85,7,5.43,-8.0,-8.0,4.23,0,2,6.33,예,2003-01-20,2014-01-20,판정 안 함
KODEX 200,1,위,-8.0,뒤 절반,12,0.58,0.05,66.67,0.515,66.01,0.66,2.51,-4.87,4,8.59,-8.0,-8.0,4.6,0,1,6.83,예,2015-01-20,2026-01-20,판정 안 함
KODEX 200,1,위,-8.0,최근 10년,10,-3.68,-0.37,60.0,0.541,64.91,-4.91,2.63,-4.87,4,8.59,-8.0,-8.0,4.96,0,1,6.7,예,2017-01-20,2026-01-20,판정 안 함
KODEX 200,1,위,-8.0,최근 5년,5,1.14,0.23,60.0,0.756,56.96,3.04,3.24,-4.28,2,8.59,-8.0,-8.0,5.89,0,1,6.2,아니오,2022-01-20,2026-01-20,판정 안 함
KODEX 200,1,위,-9.0,전체,24,-10.09,-0.42,50.0,0.691,56.66,-6.66,2.58,-3.73,11,8.59,-7.33,-8.67,4.02,0,0,6.96,예,2003-01-20,2026-01-20,제외
KODEX 200,1,위,-9.0,앞 절반,12,-12.92,-1.08,33.33,0.801,50.91,-17.58,2.72,-3.4,7,5.43,-7.33,-8.67,3.82,0,0,7.0,예,2003-01-20,2014-01-20,판정 안 함
KODEX 200,1,위,-9.0,뒤 절반,12,2.83,0.24,66.67,0.582,63.21,3.46,2.51,-4.31,4,8.59,-6.77,-8.49,4.28,0,0,6.92,예,2015-01-20,2026-01-20,판정 안 함
KODEX 200,1,위,-9.0,최근 10년,10,-1.44,-0.14,60.0,0.611,62.08,-2.08,2.63,-4.31,4,8.59,-6.77,-8.49,4.61,0,0,6.8,예,2017-01-20,2026-01-20,판정 안 함
KODEX 200,1,위,-9.0,최근 5년,5,3.38,0.68,60.0,1.023,49.42,10.58,3.24,-3.16,2,8.59,-5.76,-8.49,5.14,0,0,6.4,아니오,2022-01-20,2026-01-20,판정 안 함
KODEX 200,1,위,-10.0,전체,24,-10.09,-0.42,50.0,0.691,56.66,-6.66,2.58,-3.73,11,8.59,-7.33,-8.67,4.02,0,0,6.96,예,2003-01-20,2026-01-20,제외
KODEX 200,1,위,-10.0,앞 절반,12,-12.92,-1.08,33.33,0.801,50.91,-17.58,2.72,-3.4,7,5.43,-7.33,-8.67,3.82,0,0,7.0,예,2003-01-20,2014-01-20,판정 안 함
KODEX 200,1,위,-10.0,뒤 절반,12,2.83,0.24,66.67,0.582,63.21,3.46,2.51,-4.31,4,8.59,-6.77,-8.49,4.28,0,0,6.92,예,2015-01-20,2026-01-20,판정 안 함
KODEX 200,1,위,-10.0,최근 10년,10,-1.44,-0.14,60.0,0.611,62.08,-2.08,2.63,-4.31,4,8.59,-6.77,-8.49,4.61,0,0,6.8,예,2017-01-20,2026-01-20,판정 안 함
KODEX 200,1,위,-10.0,최근 5년,5,3.38,0.68,60.0,1.023,49.42,10.58,3.24,-3.16,2,8.59,-5.76,-8.49,5.14,0,0,6.4,아니오,2022-01-20,2026-01-20,판정 안 함
KODEX 200,1,위,무손절,전체,24,-10.09,-0.42,50.0,0.691,56.66,-6.66,2.58,-3.73,11,8.59,-7.33,-8.67,4.02,0,0,6.96,예,2003-01-20,2026-01-20,제외
KODEX 200,1,위,무손절,앞 절반,12,-12.92,-1.08,33.33,0.801,50.91,-17.58,2.72,-3.4,7,5.43,-7.33,-8.67,3.82,0,0,7.0,예,2003-01-20,2014-01-20,판정 안 함
KODEX 200,1,위,무손절,뒤 절반,12,2.83,0.24,66.67,0.582,63.21,3.46,2.51,-4.31,4,8.59,-6.77,-8.49,4.28,0,0,6.92,예,2015-01-20,2026-01-20,판정 안 함
KODEX 200,1,위,무손절,최근 10년,10,-1.44,-0.14,60.0,0.611,62.08,-2.08,2.63,-4.31,4,8.59,-6.77,-8.49,4.61,0,0,6.8,예,2017-01-20,2026-01-20,판정 안 함
KODEX 200,1,위,무손절,최근 5년,5,3.38,0.68,60.0,1.023,49.42,10.58,3.24,-3.16,2,8.59,-5.76,-8.49,5.14,0,0,6.4,아니오,2022-01-20,2026-01-20,판정 안 함
KODEX 200,2,아래,-3.0,전체,24,15.27,0.64,50.0,1.871,34.83,15.17,2.73,-1.46,12,9.49,-3.0,-3.0,2.95,0,4,5.54,예,2003-02-20,2026-02-20,제외
KODEX 200,2,아래,-3.0,앞 절반,12,-2.57,-0.21,41.67,1.136,46.81,-5.14,2.21,-1.95,7,5.1,-3.0,-3.0,2.63,0,3,5.5,예,2003-02-20,2014-02-20,판정 안 함
KODEX 200,2,아래,-3.0,뒤 절반,12,17.83,1.49,58.33,3.977,20.09,38.24,3.11,-0.78,5,9.49,-3.0,-3.0,3.12,0,1,5.58,예,2015-02-17,2026-02-20,판정 안 함
KODEX 200,2,아래,-3.0,최근 10년,10,18.5,1.85,70.0,2.879,25.78,44.22,3.11,-1.08,3,9.49,-3.0,-3.0,3.32,0,1,5.6,예,2017-02-20,2026-02-20,판정 안 함
KODEX 200,2,아래,-3.0,최근 5년,5,5.25,1.05,80.0,0.688,59.26,20.74,2.06,-3.0,1,4.22,-3.0,-3.0,2.7,0,1,5.4,아니오,2022-02-18,2026-02-20,판정 안 함
KODEX 200,2,아래,-4.0,전체,24,19.28,0.8,54.17,2.017,33.14,21.03,2.56,-1.27,11,9.49,-4.13,-4.13,2.84,1,0,5.79,예,2003-02-20,2026-02-20,제외
KODEX 200,2,아래,-4.0,앞 절반,12,2.58,0.21,50.0,1.289,43.68,6.32,1.91,-1.48,6,5.1,-2.75,-3.66,2.32,0,0,5.92,예,2003-02-20,2014-02-20,판정 안 함
KODEX 200,2,아래,-4.0,뒤 절반,12,16.71,1.39,58.33,3.087,24.47,33.86,3.11,-1.01,5,9.49,-4.13,-4.13,3.28,1,0,5.67,예,2015-02-17,2026-02-20,판정 안 함
KODEX 200,2,아래,-4.0,최근 10년,10,17.38,1.74,70.0,2.136,31.89,38.11,3.11,-1.45,3,9.49,-4.13,-4.13,3.51,1,0,5.7,예,2017-02-20,2026-02-20,판정 안 함
KODEX 200,2,아래,-4.0,최근 5년,5,4.13,0.83,80.0,0.5,66.67,13.33,2.06,-4.13,1,4.22,-4.13,-4.13,3.13,1,0,5.6,아니오,2022-02-18,2026-02-20,판정 안 함
KODEX 200,2,아래,-5.0,전체,24,18.41,0.77,54.17,1.898,34.51,19.66,2.56,-1.35,11,9.49,-5.0,-5.0,2.91,0,1,5.79,예,2003-02-20,2026-02-20,제외
KODEX 200,2,아래,-5.0,앞 절반,12,2.58,0.21,50.0,1.289,43.68,6.32,1.91,-1.48,6,5.1,-2.75,-3.66,2.32,0,0,5.92,예,2003-02-20,2014-02-20,판정 안 함
KODEX 200,2,아래,-5.0,뒤 절반,12,15.83,1.32,58.33,2.63,27.55,30.78,3.11,-1.18,5,9.49,-5.0,-5.0,3.42,0,1,5.67,예,2015-02-17,2026-02-20,판정 안 함
KODEX 200,2,아래,-5.0,최근 10년,10,16.5,1.65,70.0,1.779,35.98,34.02,3.11,-1.75,3,9.49,-5.0,-5.0,3.68,0,1,5.7,예,2017-02-20,2026-02-20,판정 안 함
KODEX 200,2,아래,-5.0,최근 5년,5,3.25,0.65,80.0,0.413,70.8,9.2,2.06,-5.0,1,4.22,-5.0,-5.0,3.48,0,1,5.6,아니오,2022-02-18,2026-02-20,판정 안 함
KODEX 200,2,아래,-6.0,전체,24,17.41,0.73,54.17,1.778,36.0,18.17,2.56,-1.44,11,9.49,-6.0,-6.0,3.0,0,1,5.79,예,2003-02-20,2026-02-20,제외
KODEX 200,2,아래,-6.0,앞 절반,12,2.58,0.21,50.0,1.289,43.68,6.32,1.91,-1.48,6,5.1,-2.75,-3.66,2.32,0,0,5.92,예,2003-02-20,2014-02-20,판정 안 함
KODEX 200,2,아래,-6.0,뒤 절반,12,14.83,1.24,58.33,2.249,30.78,27.55,3.11,-1.38,5,9.49,-6.0,-6.0,3.59,0,1,5.67,예,2015-02-17,2026-02-20,판정 안 함
KODEX 200,2,아래,-6.0,최근 10년,10,15.5,1.55,70.0,1.494,40.1,29.9,3.11,-2.08,3,9.49,-6.0,-6.0,3.89,0,1,5.7,예,2017-02-20,2026-02-20,판정 안 함
KODEX 200,2,아래,-6.0,최근 5년,5,2.25,0.45,80.0,0.344,74.42,5.58,2.06,-6.0,1,4.22,-6.0,-6.0,3.89,0,1,5.6,아니오,2022-02-18,2026-02-20,판정 안 함
KODEX 200,2,아래,-7.0,전체,24,16.41,0.68,54.17,1.672,37.42,16.75,2.56,-1.53,11,9.49,-7.0,-7.0,3.11,0,1,5.83,예,2003-02-20,2026-02-20,제외
KODEX 200,2,아래,-7.0,앞 절반,12,2.58,0.21,50.0,1.289,43.68,6.32,1.91,-1.48,6,5.1,-2.75,-3.66,2.32,0,0,5.92,예,2003-02-20,2014-02-20,판정 안 함
KODEX 200,2,아래,-7.0,뒤 절반,12,13.83,1.15,58.33,1.964,33.73,24.6,3.11,-1.58,5,9.49,-7.0,-7.0,3.78,0,1,5.75,예,2015-02-17,2026-02-20,판정 안 함
KODEX 200,2,아래,-7.0,최근 10년,10,14.5,1.45,70.0,1.287,43.72,26.28,3.11,-2.41,3,9.49,-7.0,-7.0,4.11,0,1,5.8,예,2017-02-20,2026-02-20,판정 안 함
KODEX 200,2,아래,-7.0,최근 5년,5,1.25,0.25,80.0,0.295,77.24,2.76,2.06,-7.0,1,4.22,-7.0,-7.0,4.31,0,1,5.8,아니오,2022-02-18,2026-02-20,판정 안 함
KODEX 200,2,아래,-8.0,전체,24,15.41,0.64,54.17,1.578,38.79,15.38,2.56,-1.62,11,9.49,-8.0,-8.0,3.22,0,1,5.83,예,2003-02-20,2026-02-20,제외
KODEX 200,2,아래,-8.0,앞 절반,12,2.58,0.21,50.0,1.289,43.68,6.32,1.91,-1.48,6,5.1,-2.75,-3.66,2.32,0,0,5.92,예,2003-02-20,2014-02-20,판정 안 함
KODEX 200,2,아래,-8.0,뒤 절반,12,12.83,1.07,58.33,1.744,36.45,21.88,3.11,-1.78,5,9.49,-8.0,-8.0,3.98,0,1,5.75,예,2015-02-17,2026-02-20,판정 안 함
KODEX 200,2,아래,-8.0,최근 10년,10,13.5,1.35,70.0,1.131,46.92,23.08,3.11,-2.75,3,9.49,-8.0,-8.0,4.34,0,1,5.8,예,2017-02-20,2026-02-20,판정 안 함
KODEX 200,2,아래,-8.0,최근 5년,5,0.25,0.05,80.0,0.258,79.5,0.5,2.06,-8.0,1,4.22,-8.0,-8.0,4.73,0,1,5.8,아니오,2022-02-18,2026-02-20,판정 안 함
KODEX 200,2,아래,-9.0,전체,24,14.41,0.6,54.17,1.494,40.09,14.08,2.56,-1.71,11,9.49,-9.0,-9.0,3.34,0,1,5.83,예,2003-02-20,2026-02-20,제외
KODEX 200,2,아래,-9.0,앞 절반,12,2.58,0.21,50.0,1.289,43.68,6.32,1.91,-1.48,6,5.1,-2.75,-3.66,2.32,0,0,5.92,예,2003-02-20,2014-02-20,판정 안 함
KODEX 200,2,아래,-9.0,뒤 절반,12,11.83,0.99,58.33,1.568,38.95,19.38,3.11,-1.98,5,9.49,-9.0,-9.0,4.2,0,1,5.75,예,2015-02-17,2026-02-20,판정 안 함
KODEX 200,2,아래,-9.0,최근 10년,10,12.5,1.25,70.0,1.009,49.78,20.22,3.11,-3.08,3,9.49,-9.0,-9.0,4.59,0,1,5.8,예,2017-02-20,2026-02-20,판정 안 함
KODEX 200,2,아래,-9.0,최근 5년,5,-0.75,-0.15,80.0,0.229,81.36,-1.36,2.06,-9.0,1,4.22,-9.0,-9.0,5.16,0,1,5.8,아니오,2022-02-18,2026-02-20,판정 안 함
KODEX 200,2,아래,-10.0,전체,24,13.41,0.56,54.17,1.419,41.34,12.83,2.56,-1.8,11,9.49,-10.0,-10.0,3.47,0,1,5.83,예,2003-02-20,2026-02-20,제외
KODEX 200,2,아래,-10.0,앞 절반,12,2.58,0.21,50.0,1.289,43.68,6.32,1.91,-1.48,6,5.1,-2.75,-3.66,2.32,0,0,5.92,예,2003-02-20,2014-02-20,판정 안 함
